change_id,table_name,record_id,change_type,field_changed,old_value,new_value,changed_by,changed_at
CHG0000000,article_master,ART00000,create,,,,swilson,2025-01-21
CHG0000001,article_master,ART00001,create,,,,rkhan,2026-01-06
CHG0000002,article_master,ART00002,create,,,,swilson,2025-11-30
CHG0000003,article_master,ART00003,create,,,,rkhan,2025-05-21
CHG0000004,article_master,ART00004,create,,,,jchen,2025-07-11
CHG0000005,article_master,ART00005,create,,,,jchen,2023-04-22
CHG0000006,article_master,ART00006,create,,,,jchen,2025-10-31
CHG0000007,article_master,ART00007,create,,,,jchen,2025-11-10
CHG0000008,article_master,ART00008,create,,,,jchen,2025-03-07
CHG0000009,article_master,ART00009,create,,,,mpatel,2025-02-23
CHG0000010,article_master,ART00010,create,,,,jchen,2024-10-07
CHG0000011,article_master,ART00011,create,,,,mpatel,2024-02-28
CHG0000012,article_master,ART00012,create,,,,mpatel,2025-01-04
CHG0000013,article_master,ART00013,create,,,,jchen,2024-10-22
CHG0000014,article_master,ART00014,create,,,,mpatel,2024-02-05
CHG0000015,article_master,ART00015,create,,,,mpatel,2023-09-22
CHG0000016,article_master,ART00016,create,,,,swilson,2022-06-25
CHG0000017,article_master,ART00017,create,,,,swilson,2025-05-27
CHG0000018,article_master,ART00018,create,,,,jchen,2024-06-16
CHG0000019,article_master,ART00019,create,,,,mpatel,2022-01-15
CHG0000020,article_master,ART00020,create,,,,jchen,2023-11-08
CHG0000021,article_master,ART00021,create,,,,rkhan,2026-01-21
CHG0000022,article_master,ART00022,create,,,,mpatel,2023-12-27
CHG0000023,article_master,ART00023,create,,,,mpatel,2024-04-04
CHG0000024,article_master,ART00024,create,,,,mpatel,2023-07-25
CHG0000025,article_master,ART00025,create,,,,mpatel,2025-02-01
CHG0000026,article_master,ART00026,create,,,,swilson,2022-07-11
CHG0000027,article_master,ART00027,create,,,,swilson,2023-06-28
CHG0000028,article_master,ART00028,create,,,,jchen,2022-04-30
CHG0000029,article_master,ART00029,create,,,,swilson,2024-12-23
CHG0000030,article_master,ART00030,create,,,,mpatel,2024-04-06
CHG0000031,article_master,ART00031,create,,,,mpatel,2022-03-23
CHG0000032,article_master,ART00032,create,,,,rkhan,2026-01-06
