store_group,article_id,valid_from,valid_to
SG_HWY_02,ART00000,2025-01-20,2099-12-31
SG_METRO_12,ART00000,2024-03-28,2099-12-31
SG_HWY_06,ART00000,2023-05-26,2099-12-31
SG_CBD_31,ART00000,2023-01-27,2099-12-31
SG_HWY_38,ART00000,2024-03-03,2099-12-31
SG_REGIONAL_37,ART00000,2025-10-03,2099-12-31
SG_CBD_39,ART00000,2023-06-13,2099-12-31
SG_METRO_24,ART00000,2025-08-16,2099-12-31
SG_METRO_36,ART00000,2023-05-05,2099-12-31
SG_METRO_16,ART00000,2025-01-09,2099-12-31
SG_CBD_19,ART00000,2026-02-16,2099-12-31
SG_HWY_22,ART00000,2025-05-01,2099-12-31
SG_HWY_18,ART00000,2025-01-25,2099-12-31
SG_METRO_08,ART00000,2023-04-30,2099-12-31
SG_REGIONAL_01,ART00000,2024-06-28,2099-12-31
SG_HWY_02,ART00001,2025-05-24,2099-12-31
SG_METRO_04,ART00001,2023-08-02,2099-12-31
SG_CBD_19,ART00001,2023-12-08,2099-12-31
SG_HWY_38,ART00001,2024-01-05,2099-12-31
SG_REGIONAL_13,ART00001,2026-01-31,2099-12-31
SG_REGIONAL_33,ART00001,2025-04-02,2099-12-31
SG_HWY_06,ART00001,2025-10-30,2099-12-31
SG_HWY_34,ART00001,2024-11-22,2099-12-31
SG_HWY_14,ART00001,2023-11-20,2099-12-31
SG_REGIONAL_17,ART00001,2025-12-29,2099-12-31
SG_METRO_12,ART00001,2025-06-26,2099-12-31
SG_METRO_32,ART00001,2024-12-22,2099-12-31
SG_METRO_28,ART00001,2024-10-07,2099-12-31
SG_METRO_16,ART00001,2026-01-31,2099-12-31
SG_REGIONAL_21,ART00001,2024-10-26,2099-12-31
SG_CBD_07,ART00001,2025-01-31,2099-12-31
SG_HWY_18,ART00001,2025-04-24,2099-12-31
SG_METRO_20,ART00001,2025-05-31,2099-12-31
SG_REGIONAL_05,ART00001,2024-10-24,2099-12-31
SG_HWY_30,ART00001,2024-05-07,2099-12-31
SG_HWY_22,ART00001,2026-02-27,2099-12-31
SG_CBD_35,ART00001,2026-01-22,2099-12-31
SG_CBD_03,ART00001,2024-03-14,2099-12-31
SG_CBD_11,ART00001,2025-02-07,2099-12-31
SG_CBD_31,ART00001,2026-01-31,2099-12-31
SG_HWY_26,ART00001,2024-06-04,2099-12-31
SG_METRO_28,ART00002,2026-03-14,2099-12-31
SG_CBD_39,ART00002,2026-03-16,2099-12-31
SG_REGIONAL_25,ART00002,2023-11-13,2099-12-31
SG_METRO_00,ART00002,2023-07-13,2099-12-31
SG_HWY_02,ART00002,2023-03-19,2099-12-31
SG_HWY_18,ART00002,2025-07-31,2099-12-31
SG_REGIONAL_01,ART00002,2024-12-29,2099-12-31
SG_METRO_08,ART00002,2023-11-16,2099-12-31
SG_CBD_19,ART00002,2023-10-11,2099-12-31
